candidates,cue,associations,score_fool_the_ai,num_associations,annotation_index,num_candidates,solvers_jaccard_mean,solvers_jaccard_std,ID,clip_vit32_predictions,annotations_label
"[""stock"", ""shrimp"", ""uncle"", ""sandal"", ""nights"", ""slipper"", ""dirt"", ""night"", ""cream cheese"", ""scotch""]",heel,"[""sandal"", ""slipper""]",0,2,172,10,1.0,0.0,90,"[""slipper"", ""sandal""]","{""sandal"": ""Non Visual, Concept Related"", ""slipper"": ""Non Visual, Concept Related""}"
"[""stock"", ""shrimp"", ""uncle"", ""sandal"", ""nights"", ""slipper"", ""dirt"", ""night"", ""cream cheese"", ""scotch""]",light,"[""nights"", ""night""]",100,2,173,10,1.0,0.0,91,"[""cream cheese"", ""night""]","{""nights"": ""Visually Non-Salient"", ""night"": ""Non Visual, Concept Related""}"
"[""vein"", ""godfather"", ""pager"", ""coliseum"", ""tire"", ""ski"", ""hole"", ""gulp"", ""porch"", ""shaking""]",Italian,"[""godfather"", ""coliseum""]",67,2,174,10,1.0,0.0,92,"[""shaking"", ""hole""]","{""coliseum"": ""Non Visual, Concept Related"", ""godfather"": ""Non Visual, Concept Related""}"
"[""vein"", ""godfather"", ""pager"", ""coliseum"", ""tire"", ""ski"", ""hole"", ""gulp"", ""porch"", ""shaking""]",reach,"[""godfather"", ""shaking""]",67,2,176,10,1.0,0.0,93,"[""shaking"", ""hole""]","{""godfather"": ""Visually Salient Activity"", ""shaking"": ""Non Visual, Concept Related""}"
"[""piece"", ""oven"", ""fruit"", ""nurse"", ""mug"", ""worm"", ""coliseum"", ""clothes"", ""bait"", ""sailing"", ""plane"", ""treasure""]",hold,"[""nurse"", ""bait""]",100,2,182,12,1.0,0.0,95,"[""fruit"", ""bait""]","{""bait"": ""Visually Salient Activity"", ""nurse"": ""Visually Salient Activity""}"
"[""piece"", ""oven"", ""fruit"", ""nurse"", ""mug"", ""worm"", ""coliseum"", ""clothes"", ""bait"", ""sailing"", ""plane"", ""treasure""]",ride,"[""sailing"", ""plane""]",67,2,184,12,1.0,0.0,96,"[""plane"", ""sailing""]","{""sailing"": ""Non Visual, Concept Related"", ""plane"": ""Non Visual, Concept Related""}"
"[""butterfly"", ""island"", ""duckling"", ""wheat"", ""cage"", ""juice"", ""tea"", ""rabbit"", ""sweat"", ""fox""]",bird,"[""duckling"", ""cage""]",67,2,188,10,1.0,0.0,98,"[""cage"", ""duckling""]","{""cage"": ""Non Visual, Concept Related"", ""duckling"": ""Non Visual, Concept Related""}"
"[""butterfly"", ""island"", ""duckling"", ""wheat"", ""cage"", ""juice"", ""tea"", ""rabbit"", ""sweat"", ""fox""]",drink,"[""juice"", ""tea""]",0,2,189,10,1.0,0.0,99,"[""juice"", ""tea""]","{""tea"": ""Non Visual, Concept Related"", ""juice"": ""Non Visual, Concept Related""}"
"[""butterfly"", ""island"", ""duckling"", ""wheat"", ""cage"", ""juice"", ""tea"", ""rabbit"", ""sweat"", ""fox""]",fluffy,"[""duckling"", ""rabbit"", ""fox""]",0,3,190,10,1.0,0.0,100,"[""rabbit"", ""duckling"", ""fox""]","{""duckling"": ""Visually Non-Salient"", ""rabbit"": ""Visually Non-Salient"", ""fox"": ""Visually Non-Salient""}"
"[""muppet"", ""lung"", ""sewing machine"", ""hump"", ""lamb"", ""oats"", ""rider"", ""propeller"", ""game"", ""writer""]",four,"[""muppet"", ""lamb""]",67,2,192,10,1.0,0.0,101,"[""writer"", ""muppet""]","{""lamb"": ""Counting"", ""muppet"": ""Counting""}"
"[""muppet"", ""lung"", ""sewing machine"", ""hump"", ""lamb"", ""oats"", ""rider"", ""propeller"", ""game"", ""writer""]",three,"[""hump"", ""propeller""]",67,2,193,10,1.0,0.0,102,"[""muppet"", ""hump""]","{""hump"": ""Counting"", ""propeller"": ""Counting""}"
"[""muppet"", ""lung"", ""sewing machine"", ""hump"", ""lamb"", ""oats"", ""rider"", ""propeller"", ""game"", ""writer""]",text,"[""game"", ""writer""]",67,2,197,10,1.0,0.0,103,"[""game"", ""writer""]","{""writer"": ""Non Visual, Concept Related"", ""game"": ""Visually Non-Salient""}"
"[""satellite"", ""mill"", ""son"", ""pop"", ""drool"", ""lid"", ""supper"", ""hostage"", ""player"", ""thermometer"", ""tissue"", ""tuxedo""]",flu,"[""thermometer"", ""tissue""]",0,2,198,12,1.0,0.0,104,"[""tissue"", ""thermometer""]","{""thermometer"": ""Non Visual, Concept Related"", ""tissue"": ""Non Visual, Concept Related""}"
"[""satellite"", ""mill"", ""son"", ""pop"", ""drool"", ""lid"", ""supper"", ""hostage"", ""player"", ""thermometer"", ""tissue"", ""tuxedo""]",costume,"[""pop"", ""tuxedo""]",67,2,200,12,1.0,0.0,105,"[""tuxedo"", ""pop""]","{""tuxedo"": ""Visually Salient Object"", ""pop"": ""Non Visual, Concept Related""}"
"[""satellite"", ""mill"", ""son"", ""pop"", ""drool"", ""lid"", ""supper"", ""hostage"", ""player"", ""thermometer"", ""tissue"", ""tuxedo""]",cook,"[""lid"", ""supper""]",67,2,202,12,1.0,0.0,106,"[""supper"", ""tuxedo""]","{""lid"": ""Non Visual, Concept Related"", ""supper"": ""Visually Salient Activity""}"
"[""satellite"", ""mill"", ""son"", ""pop"", ""drool"", ""lid"", ""supper"", ""hostage"", ""player"", ""thermometer"", ""tissue"", ""tuxedo""]",wings,"[""satellite"", ""mill""]",100,2,203,12,1.0,0.0,107,"[""tissue"", ""tuxedo""]","{""mill"": ""Visually Non-Salient"", ""satellite"": ""Visually Non-Salient""}"
"[""comb"", ""willow"", ""blower"", ""lung"", ""chip"", ""jellyfish"", ""alarm"", ""mitten"", ""tee"", ""bacteria""]",comb,"[""comb"", ""willow"", ""tee""]",80,3,204,10,1.0,0.0,108,"[""comb"", ""jellyfish"", ""bacteria""]","{""willow"": ""Non Visual, Concept Related"", ""tee"": ""Non Visual, Concept Related"", ""comb"": ""Visually Salient Object""}"
"[""comb"", ""willow"", ""blower"", ""lung"", ""chip"", ""jellyfish"", ""alarm"", ""mitten"", ""tee"", ""bacteria""]",logo,"[""chip"", ""tee""]",67,2,206,10,1.0,0.0,110,"[""chip"", ""alarm""]","{""tee"": ""Visually Non-Salient"", ""chip"": ""Visually Salient Object""}"
"[""comb"", ""willow"", ""blower"", ""lung"", ""chip"", ""jellyfish"", ""alarm"", ""mitten"", ""tee"", ""bacteria""]",tendril,"[""willow"", ""jellyfish"", ""bacteria""]",50,3,208,10,0.83,0.24,111,"[""jellyfish"", ""willow"", ""bacteria""]","{""jellyfish"": ""Visually Non-Salient"", ""bacteria"": ""Visually Non-Salient"", ""willow"": ""Visually Non-Salient""}"
"[""comb"", ""willow"", ""blower"", ""lung"", ""chip"", ""jellyfish"", ""alarm"", ""mitten"", ""tee"", ""bacteria""]",salon,"[""comb"", ""willow"", ""tee""]",80,3,209,10,1.0,0.0,112,"[""comb"", ""tee"", ""jellyfish""]","{""willow"": ""Non Visual, Concept Related"", ""comb"": ""Non Visual, Concept Related"", ""tee"": ""Non Visual, Concept Related""}"
"[""campfire"", ""family"", ""dish"", ""tie"", ""swimming"", ""salesman"", ""shore"", ""mare"", ""leopard"", ""asphalt"", ""cross"", ""burn""]",child,"[""campfire"", ""family"", ""swimming""]",80,3,210,12,1.0,0.0,113,"[""leopard"", ""cross"", ""salesman""]","{""family"": ""Visually Non-Salient"", ""campfire"": ""Visually Non-Salient"", ""swimming"": ""Visually Non-Salient""}"
"[""campfire"", ""family"", ""dish"", ""tie"", ""swimming"", ""salesman"", ""shore"", ""mare"", ""leopard"", ""asphalt"", ""cross"", ""burn""]",tie,"[""tie"", ""salesman""]",67,2,211,12,1.0,0.0,114,"[""tie"", ""cross""]","{""tie"": ""Visually Salient Object"", ""salesman"": ""Visually Non-Salient""}"
"[""campfire"", ""family"", ""dish"", ""tie"", ""swimming"", ""salesman"", ""shore"", ""mare"", ""leopard"", ""asphalt"", ""cross"", ""burn""]",necknoose,"[""tie"", ""salesman""]",67,2,213,12,1.0,0.0,115,"[""cross"", ""tie""]","{""salesman"": ""Visually Non-Salient"", ""tie"": ""Non Visual, Concept Related""}"
"[""campfire"", ""family"", ""dish"", ""tie"", ""swimming"", ""salesman"", ""shore"", ""mare"", ""leopard"", ""asphalt"", ""cross"", ""burn""]",professional,"[""tie"", ""salesman""]",0,2,215,12,1.0,0.0,116,"[""tie"", ""salesman""]","{""salesman"": ""Visually Non-Salient"", ""tie"": ""Non Visual, Concept Related""}"
"[""thorn"", ""mail"", ""oatmeal"", ""sheep"", ""pint"", ""propeller"", ""butterfly"", ""bouquet"", ""writer"", ""wing""]",pollen,"[""butterfly"", ""bouquet""]",100,2,216,10,1.0,0.0,117,"[""thorn"", ""butterfly""]","{""bouquet"": ""Non Visual, Concept Related"", ""butterfly"": ""Non Visual, Concept Related""}"
"[""thorn"", ""mail"", ""oatmeal"", ""sheep"", ""pint"", ""propeller"", ""butterfly"", ""bouquet"", ""writer"", ""wing""]",message,"[""mail"", ""writer""]",67,2,217,10,1.0,0.0,118,"[""mail"", ""sheep""]","{""mail"": ""Visually Salient Object"", ""writer"": ""Non Visual, Concept Related""}"
"[""thorn"", ""mail"", ""oatmeal"", ""sheep"", ""pint"", ""propeller"", ""butterfly"", ""bouquet"", ""writer"", ""wing""]",flutter,"[""butterfly"", ""wing""]",0,2,218,10,1.0,0.0,119,"[""butterfly"", ""wing""]","{""butterfly"": ""Non Visual, Concept Related"", ""wing"": ""Non Visual, Concept Related""}"
"[""thorn"", ""mail"", ""oatmeal"", ""sheep"", ""pint"", ""propeller"", ""butterfly"", ""bouquet"", ""writer"", ""wing""]",prick,"[""thorn"", ""writer""]",67,2,220,10,1.0,0.0,121,"[""thorn"", ""sheep""]","{""thorn"": ""Non Visual, Concept Related"", ""writer"": ""Visually Non-Salient""}"
"[""thorn"", ""mail"", ""oatmeal"", ""sheep"", ""pint"", ""propeller"", ""butterfly"", ""bouquet"", ""writer"", ""wing""]",pollinate,"[""thorn"", ""butterfly"", ""bouquet""]",50,3,221,10,1.0,0.0,122,"[""thorn"", ""butterfly"", ""wing""]","{""butterfly"": ""Non Visual, Concept Related"", ""bouquet"": ""Non Visual, Concept Related"", ""thorn"": ""Non Visual, Concept Related""}"
"[""hair"", ""pajamas"", ""outfit"", ""ranch"", ""journalist"", ""den"", ""sink"", ""caramel"", ""orchestra"", ""rock"", ""walking"", ""band""]",paparazzi,"[""journalist"", ""band""]",67,2,223,12,1.0,0.0,123,"[""outfit"", ""journalist""]","{""journalist"": ""Non Visual, Concept Related"", ""band"": ""Visually Non-Salient""}"
"[""hair"", ""pajamas"", ""outfit"", ""ranch"", ""journalist"", ""den"", ""sink"", ""caramel"", ""orchestra"", ""rock"", ""walking"", ""band""]",drizzle,"[""ranch"", ""caramel""]",67,2,225,12,1.0,0.0,124,"[""ranch"", ""rock""]","{""caramel"": ""Visually Non-Salient"", ""ranch"": ""Non Visual, Concept Related""}"
"[""computer"", ""backspace"", ""dial"", ""thyme"", ""tuna"", ""hash"", ""teller"", ""salsa"", ""racket"", ""bugle""]",typing,"[""computer"", ""backspace""]",67,2,230,10,1.0,0.0,127,"[""computer"", ""backspace""]","{""computer"": ""Non Visual, Concept Related"", ""backspace"": ""Non Visual, Concept Related""}"
"[""computer"", ""backspace"", ""dial"", ""thyme"", ""tuna"", ""hash"", ""teller"", ""salsa"", ""racket"", ""bugle""]",delete,"[""computer"", ""backspace""]",67,2,231,10,1.0,0.0,128,"[""computer"", ""backspace""]","{""computer"": ""Non Visual, Concept Related"", ""backspace"": ""Non Visual, Concept Related""}"
"[""computer"", ""backspace"", ""dial"", ""thyme"", ""tuna"", ""hash"", ""teller"", ""salsa"", ""racket"", ""bugle""]",item,"[""thyme"", ""racket"", ""bugle""]",50,3,233,10,1.0,0.0,129,"[""hash"", ""thyme"", ""bugle""]","{""racket"": ""Non Visual, Concept Related"", ""thyme"": ""Non Visual, Concept Related"", ""bugle"": ""Non Visual, Concept Related""}"
"[""inn"", ""scalp"", ""sneeze"", ""cloth"", ""wool"", ""shelter"", ""mane"", ""parsley"", ""track"", ""store"", ""secretary"", ""corridor""]",swirl,"[""scalp"", ""wool""]",0,2,234,12,1.0,0.0,130,"[""wool"", ""scalp""]","{""wool"": ""Visually Non-Salient"", ""scalp"": ""Visually Non-Salient""}"
"[""inn"", ""scalp"", ""sneeze"", ""cloth"", ""wool"", ""shelter"", ""mane"", ""parsley"", ""track"", ""store"", ""secretary"", ""corridor""]",fresh,"[""parsley"", ""store""]",67,2,235,12,1.0,0.0,131,"[""store"", ""parsley""]","{""parsley"": ""Non Visual, Concept Related"", ""store"": ""OCR""}"
"[""inn"", ""scalp"", ""sneeze"", ""cloth"", ""wool"", ""shelter"", ""mane"", ""parsley"", ""track"", ""store"", ""secretary"", ""corridor""]",endorsements,"[""mane"", ""track""]",100,2,237,12,1.0,0.0,132,"[""inn"", ""sneeze""]","{""track"": ""Visually Non-Salient"", ""mane"": ""Visually Non-Salient""}"
"[""inn"", ""scalp"", ""sneeze"", ""cloth"", ""wool"", ""shelter"", ""mane"", ""parsley"", ""track"", ""store"", ""secretary"", ""corridor""]",illness,"[""scalp"", ""sneeze""]",67,2,238,12,1.0,0.0,133,"[""sneeze"", ""scalp""]","{""scalp"": ""Non Visual, Concept Related"", ""sneeze"": ""Non Visual, Concept Related""}"
"[""inn"", ""scalp"", ""sneeze"", ""cloth"", ""wool"", ""shelter"", ""mane"", ""parsley"", ""track"", ""store"", ""secretary"", ""corridor""]",curable,"[""scalp"", ""sneeze""]",100,2,239,12,1.0,0.0,134,"[""sneeze"", ""parsley""]","{""sneeze"": ""Non Visual, Concept Related"", ""scalp"": ""Visually Non-Salient""}"
"[""doodle"", ""cop"", ""rhino"", ""you"", ""police"", ""pager"", ""crumb"", ""tar"", ""pope"", ""geisha"", ""soccer"", ""axe""]",handles,"[""tar"", ""axe""]",0,2,240,12,1.0,0.0,135,"[""axe"", ""tar""]","{""tar"": ""Non Visual, Concept Related"", ""axe"": ""Non Visual, Concept Related""}"
"[""doodle"", ""cop"", ""rhino"", ""you"", ""police"", ""pager"", ""crumb"", ""tar"", ""pope"", ""geisha"", ""soccer"", ""axe""]",gun,"[""cop"", ""police""]",100,2,242,12,1.0,0.0,136,"[""axe"", ""cop""]","{""cop"": ""OCR"", ""police"": ""Non Visual, Concept Related""}"
"[""doodle"", ""cop"", ""rhino"", ""you"", ""police"", ""pager"", ""crumb"", ""tar"", ""pope"", ""geisha"", ""soccer"", ""axe""]",jail,"[""cop"", ""police""]",67,2,243,12,1.0,0.0,137,"[""cop"", ""rhino""]","{""police"": ""Non Visual, Concept Related"", ""cop"": ""OCR""}"
"[""doodle"", ""cop"", ""rhino"", ""you"", ""police"", ""pager"", ""crumb"", ""tar"", ""pope"", ""geisha"", ""soccer"", ""axe""]",weapon,"[""cop"", ""police"", ""axe""]",80,3,245,12,1.0,0.0,139,"[""axe"", ""pager"", ""tar""]","{""cop"": ""Non Visual, Concept Related"", ""police"": ""Non Visual, Concept Related"", ""axe"": ""Non Visual, Concept Related""}"
"[""signature"", ""plant"", ""salsa"", ""tiger"", ""stopwatch"", ""tire"", ""periodic table"", ""tv"", ""spark"", ""sand"", ""hamster"", ""smile""]",nose,"[""tiger"", ""hamster""]",67,2,246,12,1.0,0.0,140,"[""smile"", ""hamster""]","{""hamster"": ""Non Visual, Concept Related"", ""tiger"": ""Non Visual, Concept Related""}"
"[""signature"", ""plant"", ""salsa"", ""tiger"", ""stopwatch"", ""tire"", ""periodic table"", ""tv"", ""spark"", ""sand"", ""hamster"", ""smile""]",ears,"[""tiger"", ""hamster""]",67,2,247,12,1.0,0.0,141,"[""hamster"", ""smile""]","{""tiger"": ""Visually Non-Salient"", ""hamster"": ""Non Visual, Concept Related""}"
"[""signature"", ""plant"", ""salsa"", ""tiger"", ""stopwatch"", ""tire"", ""periodic table"", ""tv"", ""spark"", ""sand"", ""hamster"", ""smile""]",pulse,"[""tiger"", ""hamster""]",100,2,249,12,1.0,0.0,142,"[""periodic table"", ""smile""]","{""tiger"": ""Non Visual, Concept Related"", ""hamster"": ""Non Visual, Concept Related""}"
"[""night"", ""hot dog"", ""clerk"", ""chlorine"", ""bean"", ""yogurt"", ""tissue"", ""vacuum"", ""receipt"", ""kangaroo""]",outside,"[""night"", ""kangaroo""]",67,2,256,10,1.0,0.0,146,"[""night"", ""tissue""]","{""night"": ""Non Visual, Concept Related"", ""kangaroo"": ""Visually Non-Salient""}"
"[""slipping"", ""licorice"", ""fight"", ""billboard"", ""maid"", ""thug"", ""burlap"", ""smartphone"", ""helicopter"", ""trophy"", ""egg"", ""cheddar""]",surprise,"[""slipping"", ""fight""]",100,2,259,12,1.0,0.0,148,"[""maid"", ""egg""]","{""slipping"": ""Visually Non-Salient"", ""fight"": ""Visually Non-Salient""}"
"[""slipping"", ""licorice"", ""fight"", ""billboard"", ""maid"", ""thug"", ""burlap"", ""smartphone"", ""helicopter"", ""trophy"", ""egg"", ""cheddar""]",talk,"[""billboard"", ""smartphone""]",67,2,260,12,1.0,0.0,149,"[""billboard"", ""thug""]","{""smartphone"": ""Non Visual, Concept Related"", ""billboard"": ""OCR""}"
"[""slipping"", ""licorice"", ""fight"", ""billboard"", ""maid"", ""thug"", ""burlap"", ""smartphone"", ""helicopter"", ""trophy"", ""egg"", ""cheddar""]",fingers,"[""slipping"", ""maid""]",100,2,261,12,1.0,0.0,150,"[""egg"", ""licorice""]","{""slipping"": ""Visually Non-Salient"", ""maid"": ""Visually Non-Salient""}"
"[""slipping"", ""licorice"", ""fight"", ""billboard"", ""maid"", ""thug"", ""burlap"", ""smartphone"", ""helicopter"", ""trophy"", ""egg"", ""cheddar""]",hurt,"[""slipping"", ""fight""]",100,2,262,12,1.0,0.0,151,"[""egg"", ""thug""]","{""fight"": ""Visually Salient Activity"", ""slipping"": ""Non Visual, Concept Related""}"
"[""slipping"", ""licorice"", ""fight"", ""billboard"", ""maid"", ""thug"", ""burlap"", ""smartphone"", ""helicopter"", ""trophy"", ""egg"", ""cheddar""]",jobs,"[""fight"", ""billboard"", ""maid""]",80,3,263,12,0.83,0.24,152,"[""billboard"", ""egg"", ""maid""]","{""fight"": ""Non Visual, Concept Related"", ""billboard"": ""OCR"", ""maid"": ""Non Visual, Concept Related""}"
"[""sand"", ""square"", ""tent"", ""alligator"", ""lung"", ""blueberry"", ""belt"", ""dog"", ""lane"", ""bunny""]",mammal,"[""dog"", ""bunny""]",67,2,264,10,1.0,0.0,153,"[""alligator"", ""bunny""]","{""bunny"": ""Non Visual, Concept Related"", ""dog"": ""Non Visual, Concept Related""}"
"[""sand"", ""square"", ""tent"", ""alligator"", ""lung"", ""blueberry"", ""belt"", ""dog"", ""lane"", ""bunny""]",sky,"[""sand"", ""lane""]",67,2,265,10,1.0,0.0,154,"[""sand"", ""square""]","{""sand"": ""Visually Salient Object"", ""lane"": ""Visually Non-Salient""}"
"[""sand"", ""square"", ""tent"", ""alligator"", ""lung"", ""blueberry"", ""belt"", ""dog"", ""lane"", ""bunny""]",adopt,"[""dog"", ""bunny""]",0,2,266,10,1.0,0.0,155,"[""bunny"", ""dog""]","{""bunny"": ""Non Visual, Concept Related"", ""dog"": ""Non Visual, Concept Related""}"
"[""pilot"", ""currency"", ""mill"", ""bridge"", ""tear"", ""boa"", ""porch"", ""drip"", ""manager"", ""spasm"", ""feed"", ""bald""]",enthusiasm,"[""pilot"", ""manager""]",67,2,272,12,1.0,0.0,156,"[""boa"", ""manager""]","{""pilot"": ""Visually Non-Salient"", ""manager"": ""Visually Non-Salient""}"
"[""pilot"", ""currency"", ""mill"", ""bridge"", ""tear"", ""boa"", ""porch"", ""drip"", ""manager"", ""spasm"", ""feed"", ""bald""]",male,"[""pilot"", ""manager"", ""bald""]",50,3,274,12,1.0,0.0,157,"[""boa"", ""bald"", ""tear""]","{""pilot"": ""Visually Non-Salient"", ""manager"": ""Visually Non-Salient"", ""bald"": ""Visually Non-Salient""}"
"[""pilot"", ""currency"", ""mill"", ""bridge"", ""tear"", ""boa"", ""porch"", ""drip"", ""manager"", ""spasm"", ""feed"", ""bald""]",building,"[""mill"", ""porch""]",0,2,275,12,1.0,0.0,158,"[""mill"", ""bridge""]","{""mill"": ""Visually Salient Object"", ""porch"": ""Visually Salient Object""}"
"[""harem"", ""children"", ""shield"", ""noodle"", ""nose"", ""tomato"", ""toad"", ""potion"", ""broken"", ""blink""]",group,"[""harem"", ""children""]",67,2,276,10,1.0,0.0,159,"[""harem"", ""children""]","{""children"": ""Visually Salient Object"", ""harem"": ""Visually Salient Object""}"
"[""harem"", ""children"", ""shield"", ""noodle"", ""nose"", ""tomato"", ""toad"", ""potion"", ""broken"", ""blink""]",vapors,"[""nose"", ""potion""]",0,2,277,10,1.0,0.0,160,"[""potion"", ""nose""]","{""nose"": ""Non Visual, Concept Related"", ""potion"": ""Visually Non-Salient""}"
"[""harem"", ""children"", ""shield"", ""noodle"", ""nose"", ""tomato"", ""toad"", ""potion"", ""broken"", ""blink""]",reunion,"[""harem"", ""children""]",67,2,280,10,1.0,0.0,161,"[""harem"", ""noodle""]","{""children"": ""Visually Non-Salient"", ""harem"": ""Visually Non-Salient""}"
"[""beef"", ""cherry"", ""jail"", ""coffin"", ""stage"", ""switch"", ""giant"", ""tribe"", ""whisper"", ""bride""]",log,"[""beef"", ""coffin""]",67,2,282,10,1.0,0.0,162,"[""beef"", ""switch""]","{""beef"": ""Visually Non-Salient"", ""coffin"": ""Non Visual, Concept Related""}"
"[""beef"", ""cherry"", ""jail"", ""coffin"", ""stage"", ""switch"", ""giant"", ""tribe"", ""whisper"", ""bride""]",pair,"[""cherry"", ""whisper""]",0,2,283,10,1.0,0.0,163,"[""cherry"", ""whisper""]","{""whisper"": ""Visually Non-Salient"", ""cherry"": ""Visually Non-Salient""}"
"[""beef"", ""cherry"", ""jail"", ""coffin"", ""stage"", ""switch"", ""giant"", ""tribe"", ""whisper"", ""bride""]",female,"[""whisper"", ""bride""]",67,2,284,10,1.0,0.0,164,"[""cherry"", ""bride""]","{""whisper"": ""Visually Non-Salient"", ""bride"": ""Visually Salient Object""}"
"[""pumpkin"", ""cooler"", ""panama"", ""spoon"", ""china"", ""crab"", ""oats"", ""castle"", ""athlete"", ""urn"", ""coal"", ""kitten""]",human,"[""china"", ""athlete""]",100,2,291,12,1.0,0.0,167,"[""spoon"", ""kitten""]","{""athlete"": ""Visually Non-Salient"", ""china"": ""Visually Non-Salient""}"
"[""screwdriver"", ""parchment"", ""park"", ""world"", ""penicillin"", ""secretary"", ""upstairs"", ""wrestler"", ""museum"", ""corridor"", ""pond"", ""pulp""]",confront,"[""secretary"", ""wrestler""]",0,2,295,12,1.0,0.0,168,"[""wrestler"", ""secretary""]","{""wrestler"": ""Visually Salient Activity"", ""secretary"": ""Visually Salient Activity""}"
"[""screwdriver"", ""parchment"", ""park"", ""world"", ""penicillin"", ""secretary"", ""upstairs"", ""wrestler"", ""museum"", ""corridor"", ""pond"", ""pulp""]",men,"[""wrestler"", ""corridor""]",100,2,298,12,1.0,0.0,169,"[""upstairs"", ""parchment""]","{""wrestler"": ""Visually Non-Salient"", ""corridor"": ""Visually Non-Salient""}"
"[""screwdriver"", ""parchment"", ""park"", ""world"", ""penicillin"", ""secretary"", ""upstairs"", ""wrestler"", ""museum"", ""corridor"", ""pond"", ""pulp""]",human,"[""secretary"", ""wrestler"", ""corridor""]",80,3,299,12,1.0,0.0,170,"[""parchment"", ""world"", ""upstairs""]","{""wrestler"": ""Visually Non-Salient"", ""secretary"": ""Visually Salient Object"", ""corridor"": ""Visually Non-Salient""}"
"[""fireplace"", ""restaurant"", ""tank"", ""nose"", ""candy"", ""morse code"", ""whistle"", ""landscape"", ""men"", ""parmesan""]",warmth,"[""fireplace"", ""restaurant"", ""landscape""]",50,3,300,10,1.0,0.0,171,"[""fireplace"", ""landscape"", ""restaurant""]","{""restaurant"": ""Visually Non-Salient"", ""fireplace"": ""Non Visual, Concept Related"", ""landscape"": ""Visually Non-Salient""}"
"[""fireplace"", ""restaurant"", ""tank"", ""nose"", ""candy"", ""morse code"", ""whistle"", ""landscape"", ""men"", ""parmesan""]",stinky,"[""nose"", ""parmesan""]",67,2,301,10,1.0,0.0,172,"[""nose"", ""tank""]","{""nose"": ""Non Visual, Concept Related"", ""parmesan"": ""OCR""}"
"[""fireplace"", ""restaurant"", ""tank"", ""nose"", ""candy"", ""morse code"", ""whistle"", ""landscape"", ""men"", ""parmesan""]",cozy,"[""fireplace"", ""restaurant""]",0,2,303,10,1.0,0.0,173,"[""fireplace"", ""restaurant""]","{""fireplace"": ""Non Visual, Concept Related"", ""restaurant"": ""Visually Non-Salient""}"
"[""fireplace"", ""restaurant"", ""tank"", ""nose"", ""candy"", ""morse code"", ""whistle"", ""landscape"", ""men"", ""parmesan""]",cylindrical,"[""whistle"", ""parmesan""]",67,2,305,10,1.0,0.0,174,"[""whistle"", ""parmesan""]","{""whistle"": ""Visually Non-Salient"", ""parmesan"": ""Visually Non-Salient""}"
"[""scratch"", ""rake"", ""mole"", ""boil"", ""blinking"", ""suitcase"", ""scribble"", ""comma"", ""coffee"", ""thermometer""]",lawn,"[""rake"", ""mole""]",67,2,308,10,1.0,0.0,175,"[""rake"", ""boil""]","{""rake"": ""Non Visual, Concept Related"", ""mole"": ""Non Visual, Concept Related""}"
"[""scratch"", ""rake"", ""mole"", ""boil"", ""blinking"", ""suitcase"", ""scribble"", ""comma"", ""coffee"", ""thermometer""]",fuzzy,"[""scratch"", ""mole""]",67,2,310,10,1.0,0.0,176,"[""mole"", ""rake""]","{""mole"": ""Non Visual, Concept Related"", ""scratch"": ""Visually Non-Salient""}"
"[""radiator"", ""gadget"", ""length"", ""stewardess"", ""soil"", ""machine"", ""carbon"", ""rooster"", ""mole"", ""parakeet"", ""lice"", ""mermaid""]",feathers,"[""rooster"", ""parakeet""]",67,2,313,12,1.0,0.0,178,"[""parakeet"", ""rooster""]","{""rooster"": ""Non Visual, Concept Related"", ""parakeet"": ""Non Visual, Concept Related""}"
"[""radiator"", ""gadget"", ""length"", ""stewardess"", ""soil"", ""machine"", ""carbon"", ""rooster"", ""mole"", ""parakeet"", ""lice"", ""mermaid""]",peck,"[""rooster"", ""parakeet""]",0,2,315,12,1.0,0.0,179,"[""rooster"", ""parakeet""]","{""parakeet"": ""Non Visual, Concept Related"", ""rooster"": ""Non Visual, Concept Related""}"
"[""slope"", ""back"", ""machine"", ""clam"", ""floor"", ""ballot"", ""rod"", ""carriage"", ""school"", ""booger"", ""quarter"", ""t-shirt""]",female,"[""back"", ""carriage""]",100,2,318,12,1.0,0.0,181,"[""booger"", ""quarter""]","{""carriage"": ""Visually Non-Salient"", ""back"": ""Visually Non-Salient""}"
"[""slope"", ""back"", ""machine"", ""clam"", ""floor"", ""ballot"", ""rod"", ""carriage"", ""school"", ""booger"", ""quarter"", ""t-shirt""]",exercise,"[""back"", ""t-shirt""]",100,2,319,12,1.0,0.0,182,"[""slope"", ""booger""]","{""t-shirt"": ""Visually Non-Salient"", ""back"": ""Visually Non-Salient""}"
"[""slope"", ""back"", ""machine"", ""clam"", ""floor"", ""ballot"", ""rod"", ""carriage"", ""school"", ""booger"", ""quarter"", ""t-shirt""]",carpentry,"[""floor"", ""school""]",67,2,322,12,1.0,0.0,183,"[""floor"", ""booger""]","{""school"": ""Visually Non-Salient"", ""floor"": ""Visually Non-Salient""}"
"[""sheet"", ""tie"", ""arcade"", ""laser"", ""shorts"", ""brush"", ""mouth"", ""click"", ""clone"", ""wound""]",starch,"[""sheet"", ""tie""]",67,2,325,10,1.0,0.0,184,"[""shorts"", ""brush""]","{""sheet"": ""Visually Non-Salient"", ""tie"": ""Visually Non-Salient""}"
